SlottedPage, 4096, 0.2, 1, 32873.972928386385, 2767227
SlottedPage, 4096, 0.2, 2, 3102.745590149981, 2767227
SlottedPage, 4096, 0.2, 3, 3040.338211029144, 5534058
SlottedPage, 4096, 0.2, 4, 2602.51421649191, 2767227
SlottedPage, 4096, 0.4, 1, 32644.190502047557, 5482875
SlottedPage, 4096, 0.4, 2, 2735.66080849019, 5482875
SlottedPage, 4096, 0.4, 3, 3065.4506750234036, 5482875
SlottedPage, 4096, 0.4, 4, 3043.315925316142, 5482875
SlottedPage, 4096, 0.6, 1, 32847.07791086413, 8178043
SlottedPage, 4096, 0.6, 2, 3065.4119027913734, 8178043
SlottedPage, 4096, 0.6, 3, 3041.9431559409463, 8178043
SlottedPage, 4096, 0.6, 4, 3051.76563841943, 8178043
SlottedPage, 4096, 0.8, 1, 18555.150994948406, 10840443
SlottedPage, 4096, 0.8, 2, 2859.0430282938833, 10840443
SlottedPage, 4096, 0.8, 3, 3014.318699464991, 10840443
SlottedPage, 4096, 0.8, 4, 3037.3250316807134, 10840443
SlottedPage, 4096, 1.0, 1, 21168.72209874254, 13572475
SlottedPage, 4096, 1.0, 2, 2959.971813940956, 13572475
SlottedPage, 4096, 1.0, 3, 2958.1689522539878, 13572475
SlottedPage, 4096, 1.0, 4, 2915.535721504716, 13572475
SlottedPage, 32768, 0.2, 1, 36854.21944725596, 2886011
SlottedPage, 32768, 0.2, 2, 457.5848180121662, 2886011
SlottedPage, 32768, 0.2, 3, 446.88689360889146, 5771626
SlottedPage, 32768, 0.2, 4, 456.3597881099602, 8657241
SlottedPage, 32768, 0.4, 1, 36698.05063794563, 5572987
SlottedPage, 32768, 0.4, 2, 435.6282848347054, 5572987
SlottedPage, 32768, 0.4, 3, 454.8994651994, 5572987
SlottedPage, 32768, 0.4, 4, 453.67204383751397, 5572987
SlottedPage, 32768, 0.6, 1, 37134.99482851338, 8194427
SlottedPage, 32768, 0.6, 2, 455.9560506917641, 8194427
SlottedPage, 32768, 0.6, 3, 454.49105631662565, 8194427
SlottedPage, 32768, 0.6, 4, 450.90422605187575, 8194427
SlottedPage, 32768, 0.8, 1, 36900.01536049096, 10815867
SlottedPage, 32768, 0.8, 2, 455.39206894989, 10815867
SlottedPage, 32768, 0.8, 3, 442.08013014619416, 10815867
SlottedPage, 32768, 0.8, 4, 459.14215126428996, 10815867
SlottedPage, 32768, 1.0, 1, 24860.612729525998, 13535611
SlottedPage, 32768, 1.0, 2, 460.1361399487314, 13535611
SlottedPage, 32768, 1.0, 3, 451.41989640158386, 13535611
SlottedPage, 32768, 1.0, 4, 445.5880780602255, 13535611
